name,address,contact_person,contact_number,email,gst
SKY ALUMINIUM AND LADDERS,"Shed No C/2-6, Near Post Office, GIDC, Vapi",Ali Gandhi,9824112287,sky_alu@yahoo.co.in,24ADQPG0606H1ZV
A SQUARE SOLUTIONS,"402, Vrajnandini residency, kamrej - Surat",Amit kumar R parmar,8153030983,,24BODDP3192N1Z1
A ONE ALUMINIUM,plot 28/1 dilesh complex GIDC Vapi,,9825532784,,24BNRPS4160G1ZP
P D ENTERPRISES,"M CUBE THE BUSINESS HUB,E/107 NR BOMBAY RESTAURENT BALITHA VAPI",Dipankar N mandal/aziz,9812312387,,24AUGPM2242L1ZN
QUTBI ALLUMINIUM,Nr Vardhman Complex Sillvassa Road Vapi,Imran punawala,9714877996,qutbi.alluwork@gmail.com,24BEQPP3831K1Z3
KROMA INDUSTRIES,,,,,
MAYUR ALUMINIUM,"Shop No 5, Amidhara commercial house,N.H.08 Vapi",Mukesh manjhi,8128310279,,24BZBPM7997H1ZW
SHREE PUJA WOVEN SACK PVT LTD,SURVEY NO 477/32MORAI IND PARK MORAI GUJARAT,O B BHATTAR,9909922324,,24ABCCS8935N1ZR
STEEL CASE,"DHANOLI, N.H-8 BHILAD, VALSAD, GUJARAT",MR DUBEY JI,9324287763,,24AABPB8843R1ZD
MODISON LIMITED GATE-1,"Plot no 85/A,B,D,E phase 1 GIDC VAPI396195",Mr Dilshad shaikh,9374784651,purchase@modison.com,24AAACA3768N1ZG
EURO SERIES,"3rd floor E,flat 304 Dream City 322/P1/P4 selvas road vapi",S M Arif Siddiqui,9724459329,,24PIHPS6018A1Z6
VISHUDDHI ENVIRO PVT LTD,"PLOT NO 86, VIBRANT BUSINESS PARK GIDC VAPI",NITIN SIR/MR BHAVESH,9879721848,,24AACCV7460J1Z4
ALTAMAS ALUMINIUM,"C1,B/45,PHASE1,NEAR CELLO GODOWN GIDC VAPI",IRFAN KHAN,906131431,,24ARSPK5360L1ZA
HOTEL WEST VIEW,HO 4040 Naroli char rasta Nr Western hotel Bhilad gujarat,Laek Ansar Ahmed Khan,9687799888,,24ANQPK8991D1Z1
SATGURU DOOR ENTERPRISE,Shed no 3srv no 4732/0 Tanki Faliya Imran nagar VAPI,Sujeet kumar lalaji,8128310279,,24AJBPV2240D3ZM
PADMAVATI PLASTO FILM INDUSTRIES,SUR NO 785 R R KABEL RD B/H ZERO TAX DUNGRA RD DADRA N& NH,VINIT BHAI,9028149490,,26AAPFP4696L1ZB
R K ENTERPRISES,SHOP NO A-22 CITY CENTRE SILLVASSA ROAD GIDC VAPI,PRADEEP D SHARMA,9727737089,,24BRAPS8428J1ZG
VISHVAKARMA ENGINEERING WORKS,NEAR N H 48 UDWADA VALSAD GUJARAT,RAJU BHAI,9979878515,,24AAUFS0632C1ZE
SHARADDHA DEVOLOPERS,NO78/1/5DEMNI CANAL ROAD DAMAN &DNH,SANDIP S DAVE,9824066368,,26ADSPD1947Q2ZU
CHINMAY LOKHANDE ARCHITECT&INDUSTRIAL DESIGNER,"GR FL PLOT,X-2/1 SAI OM CO-OP SOCIETY SUDARSHAN NAGAR DOMBIVLI WEST MUMBAI 421201",CHINMAY PRABHAKAR LOKHANDE,,,27AHNPL4601L2Z2
AMOL AIR CARE COMPANY,GR FLOOR GNM/95/71SOCIAL NAGAR DHARAVI MUMBAI 17,AMIN TOUFIK KHAN,9137778056,PIKESH MISTRY,27AKXPK1239Q1Z9
QTS INTERIOR HOUSING PVT LTD,no;5 sur no 425 gangai kovil st Allapakkam Chennai 116,mohd ramazan,9791230234,mohd ramazan,33AASCS0673A2ZH
NITIN MISTRY,,NITIN MISTRY,,,
MAHESH MISTRY,,MAHESH MISTRY,,,
OMPRAKASH MISTRY,,OMPRAKASH MISTRY,,,
KANTILAL MISTRY,,KANTI LAL MISTRY,,,
S M B CORPORATION (23-24),"302, ROZY PALACE 3RD FLOOR GODAL NAGAR VAPI",FAZAL BHAI,9376711150,,24ALUPM3921F1Z0
MATRIX CREATION PVT LTD,"303,3RD FLOOR CK-1 ANGEL MEGA MALL KAUSHAMBI GHAZIABAD UP 201010",,7827956127,,09AAGCM6342L1Z2
TRADEWELL CORPORATION,"35,FIRST PHASE GIDC VAPI VALSAD 396195",SHAILESH BHAI,9825130583,,24ABWPM0595M1ZW
LAMINATE CLUB,SHOWROOM PLOT C5/42 OPP GIDC OFFICEVAPI VALSAD 396195,HEMANT BHAI,7990123513,,24ALWPP7918D1ZM
SAPNA  S CONSTRUCTION,"SR NO 19/A/1/K1,MISHAN FALIA,WAGHCHHIPA,PARDI VALSAD GUJ 396185",SURYA PRAKASH JI,9825369344,,24AMBPP1972B1ZF
VIPIN SHAH & ASSOCIATES,206AMIT IND EST 61 NR GANDHI HOSPITAL PAREL MUMBAI-12,CHIRAG BHAI,9833266318,,27ALIPS2377R1Z3
BODY SCULPT,"2ND,3RD FLOOR TALWALKARS,FORTUNE SQUARE CHALA VAPI VALSAD",ANUJ SUNIL SHAH,,AZIZ,24BJDPS3198C1Z7
SINGH ALUMINIUM,3RD FLOOR C/23 GIRNAR KHUSHBOO PLAZA VAPI 396195,,,MUKESH BHAI,24GXZPS9535Q1ZU
UPAJ IVESTMENT FINANCE CO LTD,VAPI,,9913393603,,
shrotra enterprises pvt ltd,370/12 karajgam (khandakunwa) Bhilad 396155 Gujarat,mithilesh chauhan,8140699337,aziz,24AAECP7634E1ZJ
shrotra enterprises pvt ltd,,,,,
Hotel Darshan,Hotel Darshan chal Vapi,Akber ali bhai,9925688249,,
Adil,imran nagar vapi,Adil,,,
Firoz sheikh,imran nagar vapi,Firoz,,,
zahir aluminium,imran nagar vapi,raju,,,
RAJ HANS CINE WORLD PVT LTD,"2310, R SQUARE MALL CHALA VAPI",,,aziz,24AADCR4726N1Z4
Raj House,,,,,
jay shree Exibitors,Jay hree cinema compound daman road chala Vapi,Mr Mukesh,,Aziz,24AACFJ8910G2ZJ
Keyur patel,Bhimpore Daman,,9924662224,Aziz,
Prophandy Technologies pvt ltd,Fiesta flat no B 802 nr Roharsh motors Pune,,,Aziz,27AAKCP6754D1Z6
M/s Lorven international Ltd,petrol pump opp metro mallBhandup Mumbai,Ms Ashvinee,8169978799,Aziz,27AABCL2472P1Z3
Harsora Hotels Pvt Ltd,Hotel Green View N H No 8 VAPI,Mr Praveen bhai,9375293323,,24AAACH1522M2ZU
vihan level up game zone,chala,mr vihan,9974999705,,
